caldt,b30ret,b20ret,b10ret,b7ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret
31/03/1970,0.071895,0.070577,0.098374,0.031707,0.056532,0.043470,0.031778,0.022387,0.017592,0.013263
30/06/1970,-0.023522,-0.025319,-0.036887,-0.011802,-0.005181,0.008628,0.013508,0.019308,0.016468,0.015706
30/09/1970,0.042413,0.044657,0.041704,0.050771,0.041979,0.036777,0.023456,0.017567,0.015015,0.010309
31/12/1970,0.029273,0.033821,0.078565,0.079322,0.070482,0.038290,0.030561,0.016807,0.013287,0.015306
31/03/1971,0.086329,0.082623,0.105858,0.061515,0.061453,0.039457,0.026746,0.012884,0.010078,0.005025
30/06/1971,-0.001728,-0.002463,-0.069609,-0.067914,-0.055151,-0.023650,-0.008716,0.007764,0.009466,0.015000
30/09/1971,0.076465,0.073733,0.084717,0.060715,0.053826,0.034227,0.024145,0.014224,0.012399,0.004926
31/12/1971,0.015790,0.006395,0.025375,0.044890,0.043253,0.026115,0.024654,0.013660,0.010550,0.007353
30/03/1972,-0.001711,0.002179,-0.006583,-0.003542,-0.006149,0.000360,0.007607,0.009190,0.008121,0.007299
30/06/1972,0.021375,0.022727,0.014350,0.019082,0.021611,0.016076,0.013125,0.010127,0.008729,0.007246
29/09/1972,0.025357,0.023555,-0.000063,0.013598,0.009158,0.007600,0.008949,0.010386,0.009649,0.009593
29/12/1972,0.001751,0.002256,0.031322,0.016315,0.011647,0.013482,0.016634,0.011766,0.011862,0.009501
30/03/1973,-0.036094,-0.037897,-0.002614,-0.006467,-0.004561,-0.003425,0.003529,0.012650,0.013497,0.018823
29/06/1973,-0.007445,-0.007445,0.002965,0.015223,0.013401,0.015258,0.011503,0.015725,0.015559,0.020785
28/09/1973,0.029237,0.029237,0.027470,0.032032,0.025311,0.022248,0.022578,0.022193,0.020280,0.022624
31/12/1973,-0.007912,-0.007912,0.012854,0.015335,0.010906,0.019256,0.019802,0.019151,0.019470,0.022124
29/03/1974,-0.040769,-0.029905,-0.007130,-0.027137,-0.017802,-0.000402,0.006756,0.017226,0.017875,0.034633
28/06/1974,0.002478,-0.000538,-0.011430,0.004724,-0.011406,0.009819,0.015401,0.023730,0.022239,0.025104
30/09/1974,-0.014508,-0.012997,0.006532,0.009064,0.033014,0.026317,0.029503,0.022817,0.020835,0.032653
31/12/1974,0.057334,0.085656,0.072322,0.063522,0.051610,0.035200,0.029078,0.018770,0.017502,0.025692
31/03/1975,0.004288,-0.010141,0.015326,0.016574,0.012838,0.024740,0.025874,0.018744,0.013789,0.015416
30/06/1975,0.036439,0.038253,-0.001648,0.000151,0.010236,0.010087,0.011952,0.014034,0.013552,0.017078
30/09/1975,-0.025822,-0.037889,-0.035269,-0.005831,0.001399,0.006418,0.012361,0.015897,0.015278,0.018657
31/12/1975,0.081978,0.073030,0.062637,0.062169,0.054724,0.042528,0.035176,0.018279,0.014363,0.016484
31/03/1976,0.037067,0.042229,0.039064,0.026640,0.020948,0.015813,0.018201,0.013954,0.012247,0.007207
30/06/1976,0.005928,0.001340,0.011629,0.012711,0.008014,0.014938,0.013626,0.013100,0.013066,0.016101
30/09/1976,0.044862,0.042033,0.037077,0.038802,0.035123,0.031039,0.023574,0.014479,0.013116,0.014085
31/12/1976,0.079845,0.086756,0.082568,0.053914,0.055170,0.033484,0.024244,0.014055,0.012160,0.010416
31/03/1977,-0.032318,-0.000096,-0.021709,-0.021402,-0.011987,0.003886,0.010546,0.011917,0.010901,0.022337
30/06/1977,0.038402,0.023483,0.007123,0.023022,0.031489,0.015280,0.015380,0.012159,0.011731,0.020167
